iter	RMSE
0	5.043565409
1	4.742784024
2	4.487515587
3	4.25976399
4	4.065632741
5	3.892289256
6	3.743546092
7	3.603241881
8	3.488803479
9	3.388424163
10	3.292535926
11	3.208724011
12	3.137708698
13	3.076610638
14	3.007996916
15	2.955545217
16	2.901295207
17	2.860295818
18	2.820555882
19	2.783836376
20	2.746974369
21	2.718222755
22	2.689319464
23	2.662447095
24	2.638436029
25	2.618793689
26	2.59948919
27	2.581686917
28	2.558419323
29	2.540522339
30	2.526033012
31	2.513097054
32	2.50116448
33	2.490736781
34	2.473754207
35	2.462833418
36	2.452545007
37	2.439582044
38	2.43015744
39	2.421849405
40	2.409955777
41	2.402499883
42	2.394372063
43	2.386322008
44	2.379906808
45	2.371571615
46	2.363355302
47	2.357740876
48	2.347959636
49	2.342622229
50	2.337174637
51	2.331330166
52	2.325155103
53	2.320308298
54	2.315288396
55	2.310710208
56	2.304900318
57	2.299392887
58	2.291346091
59	2.286556901
60	2.279101871
61	2.274869372
62	2.26917886
63	2.263806971
64	2.258852092
65	2.253881364
66	2.249546609
67	2.245084239
68	2.239954247
69	2.235750669
70	2.232347178
71	2.229549673
72	2.22463505
73	2.221527301
74	2.217183366
75	2.214113572
76	2.211947458
77	2.208969902
78	2.206263158
79	2.20153944
80	2.196851312
81	2.19323612
82	2.189180335
83	2.187125012
84	2.183575926
85	2.179932106
86	2.176507958
87	2.171802614
88	2.168681863
89	2.165236056
90	2.162996878
91	2.158743633
92	2.156394168
93	2.154383848
94	2.151169135
95	2.148929076
96	2.14602137
97	2.14324901
98	2.141407747
99	2.13979627
100	2.137195596
101	2.134922084
102	2.131060308
103	2.128278745
104	2.125342121
105	2.121874493
106	2.119450584
107	2.118030805
108	2.116798073
109	2.114562227
110	2.112990003
111	2.110062123
112	2.107255989
113	2.104790687
114	2.102673126
115	2.100755609
116	2.099212794
117	2.096291008
118	2.094700609
119	2.091889797
120	2.089962042
121	2.08761708
122	2.085857853
123	2.083470797
124	2.081122485
125	2.078442353
126	2.077039305
127	2.075084559
128	2.072880415
129	2.071088855
130	2.069906642
131	2.067779412
132	2.065988513
133	2.065045855
134	2.063630733
135	2.062482788
136	2.06010148
137	2.057497418
138	2.055030996
139	2.053205927
140	2.051741366
141	2.049919255
142	2.047827052
143	2.045846004
144	2.044690804
145	2.043202121
146	2.041848773
147	2.040697902
148	2.039185642
149	2.037671948
150	2.035503625
151	2.033379658
152	2.032022298
153	2.030204824
154	2.028846461
155	2.026775422
156	2.025685456
157	2.023622837
158	2.021550611
159	2.020592839
160	2.018445588
161	2.016750571
162	2.015080992
163	2.013477741
164	2.011817004
165	2.010552172
166	2.009824454
