iter	Passed	Remaining
0	17	17294
1	31	15929
2	45	15143
3	60	14958
4	72	14423
5	86	14247
6	99	14090
7	113	14056
8	125	13786
9	137	13655
10	151	13584
11	163	13486
12	175	13328
13	188	13242
14	202	13283
15	214	13216
16	229	13265
17	241	13184
18	254	13149
19	268	13141
20	280	13071
21	293	13063
22	306	13001
23	319	13009
24	331	12942
25	344	12907
26	356	12849
27	369	12809
28	382	12812
29	395	12792
30	407	12729
31	418	12670
32	430	12603
33	441	12557
34	457	12608
35	471	12626
36	484	12618
37	498	12608
38	510	12583
39	522	12541
40	537	12576
41	549	12543
42	561	12496
43	573	12466
44	585	12416
45	597	12388
46	609	12360
47	620	12314
48	633	12301
49	645	12269
50	657	12233
51	668	12188
52	680	12150
53	693	12151
54	705	12119
55	721	12155
56	744	12318
57	760	12351
58	782	12481
59	798	12504
60	837	12894
61	857	12967
62	871	12963
63	887	12972
64	902	12979
65	915	12957
66	929	12943
67	944	12947
68	960	12961
69	974	12948
70	988	12936
71	1000	12891
72	1013	12865
73	1025	12836
74	1039	12820
75	1050	12776
76	1063	12744
77	1075	12717
78	1089	12704
79	1103	12695
80	1118	12686
81	1130	12652
82	1142	12623
83	1156	12609
84	1168	12576
85	1182	12563
86	1194	12536
87	1208	12524
88	1221	12506
89	1234	12483
90	1247	12461
91	1261	12446
92	1273	12421
93	1284	12377
94	1296	12352
95	1309	12332
96	1323	12318
97	1337	12312
98	1349	12283
99	1362	12258
100	1375	12243
101	1390	12240
102	1402	12214
103	1415	12191
104	1427	12171
105	1441	12159
106	1454	12136
107	1464	12099
108	1477	12080
109	1491	12065
110	1503	12037
111	1515	12017
112	1529	12003
113	1541	11983
114	1554	11961
115	1567	11945
116	1580	11930
117	1595	11927
118	1608	11906
119	1621	11892
120	1634	11873
121	1647	11857
122	1659	11833
123	1672	11814
124	1684	11791
125	1699	11786
126	1713	11777
127	1725	11756
128	1738	11735
129	1750	11715
130	1761	11685
131	1774	11667
132	1785	11641
133	1796	11611
134	1808	11584
135	1822	11576
136	1834	11556
137	1848	11546
138	1861	11528
139	1873	11509
140	1888	11505
141	1902	11493
142	1915	11479
143	1928	11465
144	1941	11450
145	1954	11433
146	1969	11428
147	1981	11405
148	1993	11385
149	2007	11373
150	2021	11366
151	2034	11350
152	2046	11330
153	2059	11313
154	2072	11298
155	2085	11281
156	2097	11261
157	2109	11244
158	2121	11223
159	2133	11202
160	2147	11188
161	2160	11175
162	2173	11160
163	2186	11145
164	2199	11131
165	2212	11114
166	2224	11093
167	2236	11073
168	2248	11055
169	2261	11041
170	2273	11023
171	2287	11009
172	2298	10988
173	2312	10977
174	2328	10976
175	2341	10963
176	2355	10953
177	2368	10936
178	2382	10926
179	2396	10918
180	2409	10900
181	2422	10889
182	2434	10869
183	2445	10846
184	2459	10833
185	2471	10815
186	2484	10801
187	2497	10789
188	2512	10779
189	2525	10765
190	2537	10747
191	2549	10729
192	2561	10710
193	2572	10688
194	2586	10679
195	2599	10661
196	2612	10648
197	2624	10631
198	2637	10615
199	2649	10598
200	2662	10585
201	2676	10574
202	2692	10569
203	2704	10552
204	2718	10540
205	2731	10526
206	2742	10505
207	2753	10485
208	2766	10468
209	2778	10452
210	2792	10441
211	2803	10421
212	2816	10404
213	2827	10385
214	2839	10368
215	2853	10358
216	2868	10349
217	2882	10339
218	2894	10322
219	2908	10310
220	2919	10290
221	2931	10274
222	2944	10259
223	2960	10254
224	2973	10243
225	2986	10227
226	2999	10214
227	3011	10195
228	3023	10179
229	3037	10169
230	3050	10154
231	3061	10135
232	3074	10119
233	3087	10107
234	3101	10095
235	3114	10083
236	3128	10071
237	3141	10059
238	3153	10042
239	3165	10025
240	3181	10018
241	3194	10006
242	3206	9988
243	3220	9978
244	3232	9962
245	3244	9946
246	3258	9933
247	3270	9917
248	3281	9898
249	3294	9882
250	3308	9872
251	3320	9856
252	3334	9846
253	3347	9831
254	3360	9818
255	3373	9804
256	3385	9788
257	3399	9775
258	3411	9760
259	3422	9742
260	3433	9722
261	3448	9713
262	3463	9705
263	3478	9698
264	3491	9684
265	3504	9671
266	3519	9662
267	3532	9649
268	3545	9634
269	3557	9619
270	3570	9604
271	3582	9589
272	3595	9575
273	3606	9556
274	3619	9541
275	3632	9529
276	3644	9513
277	3656	9497
278	3669	9482
279	3681	9467
280	3693	9450
281	3705	9433
282	3716	9416
283	3729	9403
284	3742	9388
285	3755	9376
286	3769	9364
287	3782	9350
288	3795	9338
289	3806	9320
290	3820	9307
291	3832	9292
292	3844	9277
293	3858	9265
294	3872	9255
295	3884	9239
296	3899	9229
297	3912	9216
298	3926	9206
299	3940	9194
300	3955	9184
301	3968	9172
302	3982	9160
303	3994	9145
304	4006	9130
305	4020	9118
306	4032	9102
307	4044	9086
308	4057	9074
309	4070	9059
310	4082	9045
311	4095	9030
312	4107	9015
313	4119	8999
314	4132	8986
315	4146	8974
316	4158	8960
317	4171	8946
318	4183	8931
319	4197	8918
320	4208	8901
321	4220	8887
322	4234	8874
323	4247	8862
324	4261	8850
325	4273	8836
326	4284	8818
327	4298	8806
328	4310	8790
329	4323	8778
330	4336	8765
331	4349	8750
332	4363	8739
333	4376	8726
334	4389	8712
335	4401	8698
336	4412	8681
337	4425	8667
338	4435	8649
339	4448	8635
340	4463	8625
341	4479	8618
342	4492	8605
343	4504	8590
344	4520	8581
345	4532	8566
346	4544	8551
347	4556	8536
348	4568	8521
349	4580	8506
350	4594	8495
351	4609	8485
352	4622	8472
353	4635	8458
354	4647	8444
355	4659	8429
356	4671	8414
357	4683	8398
358	4695	8383
359	4708	8369
360	4721	8357
361	4733	8343
362	4745	8327
363	4758	8315
364	4773	8303
365	4786	8292
366	4798	8276
367	4812	8264
368	4824	8249
369	4835	8234
370	4848	8220
371	4861	8206
372	4874	8193
373	4887	8181
374	4899	8165
375	4912	8153
376	4923	8136
377	4936	8122
